Team,MP,W,D,L,G,GD,GA,xG,npxG,xG +/-,xGA,npxGA,xGA +/-,PTS,xPTS,xPTS +/-
Liverpool,38,25,9,4,86,45,41,93.10000000000001,86.3,7.1,42.2,40.6,1.2,84,82.3,-1.7
Arsenal,38,20,14,4,69,35,34,73.8,72.3,4.8,39.9,37.6,5.9,74,73.2,-0.8
Manchester City,38,21,8,9,72,28,44,73.6,70.6,1.6,52.9,49.9,8.9,71,64.5,-6.5
Chelsea,38,20,9,9,64,21,43,73.0,69.2,9.0,54.5,50.0,11.5,69,63.0,-6.0
Newcastle United,38,20,6,12,68,21,47,71.3,66.8,3.3,54.0,52.5,7.0,66,62.800000000000004,-3.2
Aston Villa,38,19,9,10,58,7,51,66.4,61.8,8.4,54.7,52.4,3.7,66,61.7,-4.3
Nottingham Forest,38,19,8,11,58,12,46,53.0,50.6,-5.0,56.0,53.8,10.0,65,50.1,-14.9
Brighton,38,16,13,9,66,7,59,65.3,60.1,-0.7,59.1,52.2,0.1,61,57.2,-3.8
Bournemouth,38,15,11,12,58,12,46,72.3,67.1,14.3,54.1,51.1,8.1,56,65.2,9.2
Brentford,38,16,8,14,66,9,57,67.2,62.9,1.2,60.800000000000004,60.1,3.8,56,54.7,-1.3
Fulham,38,15,9,14,54,0,54,58.1,55.1,4.1,49.1,46.2,-4.9,54,57.4,3.4
Crystal Palace,38,13,14,11,51,0,51,67.6,64.6,16.6,58.9,57.5,7.9,53,58.4,5.4
Everton,38,11,15,12,42,-2,44,47.0,45.5,5.0,53.4,51.9,9.4,48,47.8,-0.2
West Ham,38,11,10,17,46,-16,62,50.5,48.2,4.5,68.0,65.8,6.0,43,41.8,-1.2
Manchester United,38,11,9,18,44,-10,54,56.8,53.8,12.8,60.7,57.5,6.7,42,52.2,10.2
Wolverhampton Wanderers,38,12,6,20,54,-15,69,45.1,45.1,-8.9,61.4,54.7,-7.6,42,41.9,-0.1
Tottenham Hotspur,38,11,5,22,64,-1,65,65.4,62.3,1.4,68.5,66.3,3.5,38,49.8,11.8
Leicester,38,6,7,25,33,-47,80,37.8,35.6,4.8,85.9,82.8,5.9,25,26.400000000000002,1.4
Ipswich,38,4,10,24,36,-46,82,40.3,38.8,4.3,83.9,79.2,1.9,22,28.7,6.7
Southampton,38,2,6,30,26,-60,86,38.7,36.9,12.7,98.3,91.5,12.3,12,22.900000000000002,10.9
