Name,POS,Team,MP,Mins,G,xG,NPG,NPxG,A,xA,YC,RC
Mohamed Salah,F M,Liverpool,38,3392,29,27.71,20,20.86,18,15.86,1,0
Alexander Isak,F,Newcastle United,34,2822,23,22.36,19,19.31,6,5.45,1,0
Erling Haaland,F,Manchester City,31,2749,22,23.95,19,20.91,3,3.58,2,0
Chris Wood,F S,Nottingham Forest,36,3024,20,15.64,17,13.36,3,3.04,1,0
Bryan Mbeumo,D F M,Brentford,38,3419,20,13.63,15,9.07,7,10.38,3,0
Yoane Wissa,F M S,Brentford,35,2943,18,20.73,18,20.73,4,3.45,5,0
Ollie Watkins,F S,Aston Villa,38,2666,16,18.63,14,17.11,8,3.88,2,0
Matheus Cunha,F M S,Wolverhampton Wanderers,33,2617,15,8.45,15,8.45,6,7.41,4,0
Cole Palmer,M S,Chelsea,37,3228,15,15.77,11,11.97,8,12.95,7,0
Jean-Philippe Mateta,F S,Crystal Palace,37,2690,14,15.83,12,14.31,2,3.85,2,0
Jørgen Strand Larsen,F S,Wolverhampton Wanderers,35,2624,14,11.69,14,11.69,4,3.36,4,0
Jarrod Bowen,F M,West Ham,34,2993,13,9.82,12,9.05,8,7.63,1,0
Luis Díaz,F M S,Liverpool,36,2433,13,12.36,13,12.36,5,6.25,2,0
Raúl Jiménez,F S,Fulham,38,2531,12,14.41,9,12.12,3,4.08,4,0
Justin Kluivert,M S,Bournemouth,34,2390,12,10.44,6,5.87,6,5.51,8,0
Liam Delap,F S,Ipswich,37,2671,12,11.93,10,10.41,2,2.78,11,0
Kevin Schade,F M S,Brentford,38,2332,11,9.47,11,9.47,2,3.71,3,0
Brennan Johnson,F M S,Tottenham Hotspur,33,2178,11,11.16,11,11.16,3,2.95,5,0
Antoine Semenyo,F M S,Bournemouth,37,3219,11,14.55,11,14.55,5,6.61,9,0
Danny Welbeck,F S,Brighton,30,2152,10,10.46,9,9.69,4,2.08,4,0
João Pedro,F M S,Brighton,27,1975,10,8.86,5,5.06,6,5.62,4,1
Nicolas Jackson,F S,Chelsea,30,2294,10,13.83,10,13.83,5,3.47,7,1
Kaoru Mitoma,F M S,Brighton,36,2608,10,10.22,10,10.22,4,4.95,1,0
Cody Gakpo,F M S,Liverpool,35,1970,10,8.6,10,8.6,4,6.26,5,0
Evanilson,F S,Bournemouth,31,2376,10,13.71,10,12.95,1,1.92,1,1
Alex Iwobi,D F M S,Fulham,38,3023,9,5.02,9,5.02,6,8.46,1,0
Jamie Vardy,F,Leicester,35,2890,9,12.22,8,10.7,4,3.74,5,0
Dominic Solanke,F S,Tottenham Hotspur,27,2220,9,12.42,8,11.65,3,2.46,0,0
Kai Havertz,F M S,Arsenal,23,1880,9,11.83,9,11.83,3,2.95,5,0
Harvey Barnes,F M S,Newcastle United,33,1740,9,7.7,9,7.7,4,4.35,0,0
James Maddison,M S,Tottenham Hotspur,31,1851,9,5.89,9,5.89,7,6.02,6,0
Tomas Soucek,M S,West Ham,35,2586,9,8.07,9,8.07,1,0.95,8,0
Iliman Ndiaye,F M S,Everton,33,2478,9,7.09,7,5.57,0,1.91,3,0
Bruno Fernandes,F M S,Manchester United,36,3034,8,9.89,5,7.6,10,10.23,3,2
Ismaila Sarr,F M S,Crystal Palace,38,2738,8,12.31,8,12.31,6,10.06,4,0
Jacob Murphy,D F M S,Newcastle United,35,2443,8,6.59,8,6.59,11,9.34,4,0
Leandro Trossard,F M S,Arsenal,38,2569,8,8.74,8,8.74,7,7.04,2,1
Gabriel Martinelli,F M S,Arsenal,33,2310,8,9.21,8,9.21,4,5.26,1,0
Amad Diallo Traore,D F M S,Manchester United,26,1887,8,4.75,8,4.75,6,4.76,5,0
Eberechi Eze,F M S,Crystal Palace,34,2635,8,9.88,7,8.35,8,7.02,1,0
Beto,F S,Everton,30,1520,8,9.27,8,9.27,0,1.39,2,0
Rodrigo Muniz,F S,Fulham,31,922,8,6.84,8,6.84,1,0.78,1,0
Morgan Rogers,F M,Aston Villa,37,3191,8,8.22,8,8.22,10,8.15,10,0
Son Heung-Min,F M S,Tottenham Hotspur,30,2135,7,7.91,6,6.38,9,9.04,1,0
Mikel Merino,F M S,Arsenal,28,1578,7,6.87,7,6.87,2,2.17,2,1
Phil Foden,F M S,Manchester City,28,1770,7,6.18,7,6.18,2,5.38,2,0
Dejan Kulusevski,F M S,Tottenham Hotspur,32,2391,7,5.52,7,5.52,4,6.5,3,0
Morgan Gibbs-White,M,Nottingham Forest,34,2868,7,6.14,7,6.14,8,6.11,9,1
Omar Marmoush,F M S,Manchester City,16,1195,7,5.65,7,5.65,0,2.68,0,0
Dango Ouattara,F M S,Bournemouth,32,2013,7,10.93,7,10.93,4,5.99,3,0
Noni Madueke,D M S,Chelsea,32,2113,7,11.86,7,11.86,3,3.12,3,0
Jhon Durán,F S,Aston Villa,20,563,7,5.1,7,5.1,0,0.23,3,1
Marcus Rashford,F M S,"Aston Villa,Manchester United",25,1435,6,4.99,5,4.22,3,4.73,2,0
Mateo Kovacic,M S,Manchester City,31,2220,6,1.81,6,1.81,2,3.69,5,1
Harry Wilson,F M S,Fulham,25,1150,6,3.61,6,3.61,1,1.46,2,0
Diogo Jota,F S,Liverpool,26,1188,6,10.21,6,10.21,3,1.85,2,0
Emile Smith-Rowe,M S,Fulham,34,2101,6,5.26,6,5.26,3,2.43,3,0
Bukayo Saka,F M S,Arsenal,25,1763,6,8.94,5,8.18,10,11.58,3,0
Anthony Gordon,F M S,Newcastle United,34,2474,6,9.2,5,7.67,5,4.82,2,0
Anthony Elanga,F M S,Nottingham Forest,38,2549,6,5.92,6,5.92,11,6.61,1,0
Dominik Szoboszlai,F M S,Liverpool,36,2519,6,7.01,6,7.01,6,7.86,6,0
Alejandro Garnacho,F M S,Manchester United,36,2176,6,9.44,6,9.44,2,3.47,3,0
Enzo Fernández,M S,Chelsea,36,2941,6,6.13,6,6.13,7,7.74,8,0
Yankuba Minteh,D M S,Brighton,32,1832,6,5.67,6,5.67,4,4.87,6,0
Jordan Ayew,F M S,"Crystal Palace,Leicester",31,1688,5,4.34,4,3.58,0,1.91,6,0
Nikola Milenkovic,D,Nottingham Forest,37,3330,5,4.57,5,4.57,2,1.04,4,0
Callum Hudson-Odoi,F M S,Nottingham Forest,31,2221,5,2.51,5,2.51,2,2.95,2,0
Georginio Rutter,F M S,Brighton,28,1679,5,5.68,5,5.68,3,3.13,2,0
Christian Nørgaard,M,Brentford,34,2870,5,5.77,5,5.77,4,1.92,8,1
Marc Cucurella,D S,Chelsea,36,3006,5,3.16,5,3.16,1,1.81,8,1
Bruno Guimarães,M,Newcastle United,38,3321,5,4.7,5,4.7,6,6.58,7,0
Alexis Mac Allister,M S,Liverpool,35,2621,5,3.57,5,3.57,5,4.89,6,0
Josko Gvardiol,D S,Manchester City,37,3277,5,4.61,5,4.61,0,2.06,2,0
Darwin Núñez,F S,Liverpool,30,1072,5,6.91,5,6.91,2,1.74,8,0
Jack Hinshelwood,D F M S,Brighton,26,1857,5,3.25,5,3.25,2,1.42,5,0
Facundo Buonanotte,F M S,Leicester,31,1498,5,4.36,5,4.36,2,3.35,8,0
Mohammed Kudus,F M S,West Ham,32,2634,5,7.22,5,7.22,3,3.73,2,1
Fabian Schär,D S,Newcastle United,34,2938,4,4.2,4,4.2,0,0.39,9,1
Joelinton,F M,Newcastle United,29,2435,4,4.27,4,4.27,3,2.49,10,0
Kevin De Bruyne,F M S,Manchester City,28,1706,4,5.54,4,5.54,7,8.93,2,0
Thomas Partey,D M S,Arsenal,35,2810,4,2.39,4,2.39,2,2.58,4,0
Bernardo Silva,M S,Manchester City,33,2660,4,4.79,4,4.79,4,5.0,7,0
Declan Rice,M S,Arsenal,35,2848,4,3.63,4,3.63,7,9.06,5,1
Richarlison,F S,Tottenham Hotspur,15,471,4,4.3,4,4.3,1,0.82,2,0
Pedro Neto,D F M S,Chelsea,35,2238,4,4.42,4,4.42,6,6.57,8,0
Rayan Ait Nouri,D M,Wolverhampton Wanderers,37,3180,4,3.61,4,3.61,7,5.46,6,0
Dwight McNeil,M S,Everton,21,1374,4,1.51,4,1.51,6,6.04,1,0
Ryan Sessegnon,D M S,Fulham,16,576,4,2.48,4,2.48,2,1.31,1,0
Lucas Paquetá,F M S,West Ham,33,2398,4,5.13,2,3.61,0,2.73,9,0
Stephy Mavididi,M S,Leicester,30,1586,4,3.39,4,3.39,1,2.58,2,0
Sandro Tonali,M S,Newcastle United,36,2619,4,4.24,4,4.24,2,2.18,5,0
Rasmus Højlund,F S,Manchester United,32,2032,4,5.87,4,5.87,0,2.14,2,0
Ethan Nwaneri,F M S,Arsenal,26,883,4,1.78,4,1.78,2,1.16,1,0
Paul Onuachu,F S,Southampton,25,1015,4,4.89,4,4.89,1,0.52,4,0
