gw,home_team,away_team,home_goals,away_goals,pred_home_xg,pred_away_xg,home_win_prob,draw_prob,away_win_prob,actual_outcome,predicted_outcome,outcome_correct,rps,naive_rps,brier,actual_over_2_5,pred_over_prob,ou_correct,pred_top_score,actual_score,correct_score,xg_mae_home,xg_mae_away
1,Liverpool,Bournemouth,4,2,2.191,1.229,0.5525,0.2258,0.2217,home_win,home_win,True,0.1247,0.2778,0.2002,True,0.5986,True,1-1,4-2,False,0.13925100910846178,0.34066967629619205
1,Aston Villa,Newcastle United,0,0,1.538,1.601,0.3593,0.2583,0.3824,draw,away_win,False,0.1377,0.1111,0.1291,False,0.5497,False,0-0,0-0,True,1.217677648249244,0.20054253884455964
1,Brighton,Fulham,1,1,1.72,1.539,0.4071,0.251,0.342,draw,home_win,False,0.1413,0.1111,0.1657,False,0.5715,False,0-0,1-1,False,0.27961676788912526,0.6386514065228214
1,Sunderland,West Ham,3,0,0.916,1.919,0.1845,0.2524,0.5631,home_win,away_win,False,0.491,0.2778,0.665,True,0.4904,False,0-0,3-0,False,0.19645597792743275,1.3589622205154683
1,Tottenham Hotspur,Burnley,3,0,2.351,0.989,0.6267,0.2117,0.1616,home_win,home_win,True,0.0827,0.2778,0.1394,True,0.5836,True,2-0,3-0,False,0.37122906812616163,0.25942370539618964
1,Wolverhampton Wanderers,Manchester City,0,4,1.037,2.593,0.1517,0.193,0.6553,away_win,away_win,True,0.0709,0.2778,0.023,True,0.6312,True,0-2,0-4,False,0.5166053504967274,0.2928379634985765
1,Nottingham Forest,Brentford,3,1,1.625,1.504,0.3928,0.2586,0.3485,home_win,home_win,True,0.2451,0.2778,0.3687,True,0.5479,True,0-0,3-1,False,0.13544643583189941,0.17407668593472625
1,Chelsea,Crystal Palace,0,0,1.941,1.25,0.5019,0.2453,0.2528,draw,home_win,False,0.1579,0.1111,0.2519,False,0.5587,False,0-0,0-0,True,0.5711551524239373,0.2198887035627648
1,Manchester United,Arsenal,0,1,1.02,1.824,0.2169,0.2608,0.5224,away_win,away_win,True,0.1376,0.2778,0.047,False,0.4926,True,0-0,0-1,False,0.3595881119523636,0.4937480118455635
1,Leeds,Everton,1,0,1.329,1.654,0.3063,0.2653,0.4284,home_win,away_win,False,0.3324,0.2778,0.4813,False,0.5203,False,0-0,1-0,False,1.0509719361907197,0.9837316763800256
