gw,home_team,away_team,bookie_over25,bookie_under25
GW32,West Ham,Wolverhampton Wanderers,51.3,48.7
GW32,Arsenal,Bournemouth,57.2,42.8
GW32,Brentford,Everton,46.9,53.1
GW32,Burnley,Brighton,55.0,45.0
GW32,Liverpool,Fulham,62.5,37.5
GW32,Nottingham Forest,Aston Villa,49.7,50.3
GW32,Crystal Palace,Newcastle United,54.2,45.8
GW32,Sunderland,Tottenham Hotspur,49.9,50.1
GW32,Chelsea,Manchester City,60.8,39.2
GW32,Manchester United,Leeds United,55.3,44.7
GW32,Brentford,Fulham,52.9,47.1
GW32,Newcastle United,Bournemouth,64.4,35.6
GW32,Leeds United,Wolverhampton Wanderers,51.7,48.3
GW32,Tottenham Hotspur,Brighton,57.2,42.8
GW32,Chelsea,Manchester United,62.5,37.5
GW32,Aston Villa,Sunderland,49.7,50.3
GW32,Nottingham Forest,Burnley,53.3,46.7
GW32,Everton,Liverpool,54.2,45.8
GW32,Manchester City,Arsenal,53.0,47.0
GW32,Crystal Palace,West Ham,49.9,50.1
