gw,home_team,away_team,bookie_home_win,bookie_draw,bookie_away_win
GW1,,,,,
GW2,,,,,
GW3,,,,,
GW4,,,,,
GW5,,,,,
GW6,,,,,
GW7,,,,,
GW8,,,,,
GW9,,,,,
GW10,,,,,
GW11,,,,,
GW12,,,,,
GW13,,,,,
GW14,,,,,
GW15,,,,,
GW16,,,,,
GW17,,,,,
GW18,,,,,
GW19,,,,,
GW20,,,,,
GW21,,,,,
GW22,,,,,
GW23,,,,,
GW24,,,,,
GW25,,,,,
GW26,,,,,
GW27,,,,,
GW28,,,,,
GW29,,,,,
GW30,,,,,
GW31,Bournemouth,Manchester United,31.0,25.0,44.0
GW31,Brighton,Liverpool,29.5,25.5,45.0
GW31,Fulham,Burnley,62.0,23.0,15.0
GW31,Manchester City,Crystal Palace,,,
GW31,Everton,Chelsea,25.5,25.5,49.0
GW31,Leeds,Brentford,38.0,27.5,34.5
GW31,Newcastle United,Sunderland,57.0,24.5,18.5
GW31,Aston Villa,West Ham,52.0,25.0,23.0
GW31,Tottenham Hotspur,Nottingham Forest,38.0,28.0,34.0
GW32,West Ham,Wolverhampton Wanderers,55.0,24.0,21.0
GW32,Arsenal,Bournemouth,72.0,18.0,10.0
GW32,Burnley,Brighton,21.5,24.5,54.0
GW32,Brentford,Everton,44.5,28.5,27.0
GW32,Liverpool,Fulham,64.0,20.0,16.0
GW32,Nottingham Forest,Aston Villa,37.0,27.5,35.5
GW32,Crystal Palace,Newcastle United,33.0,28.0,39.0
GW32,Sunderland,Tottenham Hotspur,35.5,27.0,37.5
GW32,Chelsea,Manchester City,34.0,25.0,41.0
GW32,Manchester United,Leeds,60.0,22.5,17.5
GW33,,,,,
GW34,,,,,
GW35,,,,,
GW36,,,,,
GW37,,,,,
GW38,,,,,
