fpl_id,fpl_name,web_name,team,position,price,ownership,form,ep_next,minutes,starts,goals,assists,clean_sheets,status,chance_of_playing_next_round,news,xg,xa,xgi
1,David Raya Martín,Raya,Arsenal,GK,6.0,41.8,6.0,6.0,450,5,0,0,3,a,,,0.0,0.01,0.01
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,Arsenal,GK,4.9,0.1,0.0,0.0,0,0,0,0,0,a,,,0.0,0.0,0.0
3,Illan Meslier,Meslier,Arsenal,GK,4.9,0.0,0.0,0.0,0,0,0,0,0,a,,,0.0,0.0,0.0
4,Gabriel dos Santos Magalhães,Gabriel,Arsenal,DEF,8.0,23.0,5.0,5.0,450,5,0,0,3,a,,,0.51,0.2,0.71
5,Jurriën Timber,J.Timber,Arsenal,DEF,6.5,0.3,0.2,0.2,104,1,0,0,0,a,100.0,,0.0,0.03,0.03
6,William Saliba,Saliba,Arsenal,DEF,5.9,0.2,0.0,0.0,0,0,0,0,0,i,0.0,Back injury - Unknown return date,0.0,0.0,0.0
7,Myles Lewis-Skelly,Lewis-Skelly,Arsenal,MID,5.4,0.6,1.8,1.8,271,4,0,0,2,a,,,0.16,0.23,0.39
8,Riccardo Calafiori,Calafiori,Arsenal,DEF,5.8,50.7,5.8,5.8,416,5,0,2,3,a,,,0.67,0.62,1.29
9,Piero Hincapié,Hincapie,Arsenal,DEF,5.3,0.9,0.4,0.4,32,0,0,0,0,a,,,0.0,0.0,0.0
10,Benjamin White,White,Arsenal,DEF,5.5,5.4,4.2,4.2,315,4,0,1,2,a,100.0,,0.18,0.29,0.47
11,Cristhian Mosquera,Mosquera,Arsenal,DEF,5.3,1.7,2.4,2.4,168,2,0,0,2,a,100.0,,0.0,0.01,0.01
12,Bukayo Saka,Saka,Arsenal,MID,9.5,13.3,6.4,6.4,416,5,3,0,3,a,,,3.22,0.98,4.2
13,Declan Rice,Rice,Arsenal,MID,7.4,12.3,4.0,4.0,411,5,0,2,3,a,,,0.12,0.69,0.81
14,Eberechi Eze,Eze,Arsenal,MID,6.3,1.0,0.8,0.8,85,0,0,0,0,a,,,0.04,0.09,0.13
15,Martin Ødegaard,Ødegaard,Arsenal,MID,6.8,20.0,5.8,5.8,377,5,2,0,3,a,,,1.08,1.32,2.4
16,Noni Madueke,Madueke,Arsenal,MID,6.2,0.2,0.4,0.4,23,0,0,0,0,a,,,0.0,0.05,0.05
17,Mikel Merino Zazón,Merino,Arsenal,MID,5.8,0.4,0.8,0.8,81,0,0,0,0,a,,,0.14,0.15,0.29
