round_number,date,home_team,away_team
33,18/04/2026 11:30,Brentford,Fulham
33,18/04/2026 14:00,Leeds,Wolverhampton Wanderers
33,18/04/2026 14:00,Newcastle United,Bournemouth
33,18/04/2026 16:30,Tottenham Hotspur,Brighton
33,18/04/2026 19:00,Chelsea,Manchester United
33,19/04/2026 13:00,Aston Villa,Sunderland
33,19/04/2026 13:00,Everton,Liverpool
33,19/04/2026 13:00,Nottingham Forest,Burnley
33,19/04/2026 15:30,Manchester City,Arsenal
33,20/04/2026 19:00,Crystal Palace,West Ham
33,21/04/2026 19:00,Brighton,Chelsea
33,22/04/2026 19:00,Bournemouth,Leeds
33,22/04/2026 19:00,Burnley,Manchester City
