Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Matches,goals_per_90,assists_per_90,goals_assists_per_90,expected_goals_per_90,expected_assists_per_90,progressive_carries_per_90,progressive_passes_per_90,progressive_receptions_per_90,Goals,Assists,Goals + Assists,Expected Goals,Expected Assists,Progressive Carries,Progressive Passes,Progressive Receptions
1692,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,25,1998,34,34,2907,32.3,31,3,34,24,7,9,3,1,25.9,18.6,7.7,26.3,150,140,386,Matches,0.9597523219814242,0.09287925696594428,1.0526315789473686,0.8018575851393189,0.238390092879257,4.643962848297214,4.3343653250774,11.950464396284831,99,58,99,99,92,96,71,98
2305,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,Matches,0.7733333333333333,0.48,1.2533333333333334,0.6719999999999999,0.37866666666666665,4.1066666666666665,3.84,13.013333333333334,98,99,99,98,98,93,61,99
1484,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,35,1988,34,32,2667,29.6,27,2,29,24,3,4,1,0,27.1,24.0,2.3,26.3,27,48,164,Matches,0.9121621621621622,0.06756756756756756,0.9797297297297297,0.9155405405405406,0.07770270270270269,0.9121621621621622,1.6216216216216215,5.54054054054054,99,48,98,99,49,31,9,73
1318,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31,1993,31,28,2381,26.5,26,9,35,17,9,9,5,0,20.3,13.3,5.3,18.6,29,97,143,Matches,0.9811320754716981,0.33962264150943394,1.320754716981132,0.7660377358490567,0.19999999999999998,1.0943396226415094,3.660377358490566,5.39622641509434,99,96,99,99,87,39,57,71
2202,Mateo Retegui,it ITA,FW,Atalanta,it Serie A,25,1999,36,32,2383,26.5,25,8,33,21,4,5,3,0,18.9,14.9,4.9,19.8,21,46,199,Matches,0.9433962264150944,0.3018867924528302,1.2452830188679245,0.7132075471698113,0.1849056603773585,0.7924528301886793,1.7358490566037736,7.509433962264151,99,94,99,99,85,26,11,87
1220,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,24,1999,34,34,2756,30.6,23,6,29,19,4,4,1,0,20.3,17.2,4.3,21.6,83,88,217,Matches,0.7516339869281046,0.19607843137254902,0.9477124183006536,0.6633986928104575,0.14052287581699346,2.7124183006535945,2.8758169934640523,7.091503267973856,98,83,98,98,73,82,37,85
1110,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,24,2000,31,31,2736,30.4,22,3,25,19,3,4,2,0,22.0,18.8,3.0,21.8,24,20,124,Matches,0.7236842105263158,0.09868421052631579,0.8223684210526316,0.7236842105263158,0.09868421052631579,0.7894736842105263,0.6578947368421053,4.078947368421053,98,60,97,99,59,26,0,57
406,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,33,1991,38,34,2952,32.8,21,4,25,13,8,8,4,0,18.3,12.3,1.7,13.9,23,24,134,Matches,0.6402439024390244,0.12195121951219513,0.7621951219512195,0.5579268292682927,0.05182926829268293,0.701219512195122,0.7317073170731708,4.085365853658537,97,67,96,97,35,22,0,57
698,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27,1997,29,20,1730,19.2,21,6,27,20,1,1,1,0,16.6,15.8,8.2,24.0,127,137,252,Matches,1.09375,0.3125,1.40625,0.8645833333333335,0.4270833333333333,6.614583333333334,7.135416666666667,13.125,99,95,99,99,99,99,96,99
1094,Serhou Guirassy,gn GUI,FW,Dortmund,de Bundesliga,28,1996,30,29,2598,28.9,21,4,25,18,3,4,4,0,22.7,19.6,3.9,23.5,25,43,128,Matches,0.726643598615917,0.1384083044982699,0.8650519031141869,0.7854671280276817,0.13494809688581316,0.8650519031141869,1.4878892733564015,4.429065743944637,98,71,98,99,71,29,7,61
1061,Mason Greenwood,eng ENG,"FW,MF",Marseille,fr Ligue 1,22,2001,34,32,2804,31.2,21,5,26,14,7,9,3,0,16.3,9.1,5.7,14.8,126,157,295,Matches,0.6730769230769231,0.16025641025641027,0.8333333333333334,0.5224358974358975,0.1826923076923077,4.038461538461538,5.032051282051282,9.455128205128206,98,77,97,96,84,93,82,94
2540,Alexander Sørloth,no NOR,FW,Atlético Madrid,es La Liga,28,1995,35,15,1566,17.4,20,2,22,19,1,1,4,0,16.8,16.0,1.6,17.6,32,31,81,Matches,1.149425287356322,0.1149425287356322,1.264367816091954,0.9655172413793105,0.09195402298850576,1.8390804597701151,1.781609195402299,4.655172413793104,100,65,99,99,56,64,12,63
2788,Chris Wood,nz NZL,FW,Nott'ham Forest,eng Premier League,32,1991,36,35,2959,32.9,20,3,23,17,3,3,1,0,13.4,11.0,2.6,13.6,14,42,94,Matches,0.60790273556231,0.0911854103343465,0.6990881458966566,0.4072948328267477,0.07902735562310031,0.425531914893617,1.2765957446808511,2.857142857142857,97,58,95,92,50,11,5,44
1694,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,24,1999,38,38,3414,37.9,20,7,27,15,5,6,3,0,12.3,7.5,8.3,15.9,130,141,351,Matches,0.5277044854881267,0.18469656992084432,0.712401055408971,0.3245382585751979,0.2189973614775726,3.430079155672823,3.720316622691293,9.261213720316624,96,81,96,87,90,90,58,94
1331,Moise Kean,it ITA,FW,Fiorentina,it Serie A,24,2000,32,31,2704,30.0,19,3,22,18,1,2,6,0,19.4,17.9,1.9,19.7,42,26,143,Matches,0.6333333333333333,0.1,0.7333333333333333,0.6466666666666666,0.06333333333333332,1.4,0.8666666666666667,4.766666666666667,97,60,96,98,42,49,1,65
2781,Yoane Wissa,cd COD,FW,Brentford,eng Premier League,27,1996,35,34,2919,32.4,19,4,23,19,0,0,5,0,18.5,18.5,2.6,21.1,60,67,154,Matches,0.5864197530864198,0.1234567901234568,0.7098765432098766,0.5709876543209876,0.08024691358024692,1.8518518518518519,2.0679012345679015,4.753086419753086,97,67,95,97,50,64,18,64
2089,Ayoze Pérez,es ESP,FW,Villarreal,es La Liga,31,1993,30,22,1970,21.9,19,2,21,19,0,0,4,0,12.7,12.7,3.0,15.7,59,73,124,Matches,0.8675799086757991,0.09132420091324202,0.9589041095890412,0.5799086757990868,0.13698630136986303,2.6940639269406392,3.3333333333333335,5.662100456621005,99,58,98,97,72,82,49,74
416,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24,2000,29,28,2109,23.4,18,2,20,16,2,2,0,0,14.8,13.2,3.1,16.3,32,42,157,Matches,0.7692307692307693,0.08547008547008547,0.8547008547008548,0.6324786324786326,0.13247863247863248,1.3675213675213675,1.794871794871795,6.7094017094017095,98,55,98,98,70,48,12,83
2178,Raphinha,br BRA,"FW,MF",Barcelona,es La Liga,27,1996,36,32,2839,31.5,18,9,27,16,2,2,4,0,19.2,17.6,12.7,30.3,94,135,349,Matches,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.6095238095238095,0.40317460317460313,2.984126984126984,4.285714285714286,11.079365079365079,97,93,98,98,99,85,70,97
104,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,37,30,2509,27.9,17,4,21,13,4,4,5,0,14.1,11.0,5.3,16.3,79,92,162,Matches,0.6093189964157706,0.14336917562724016,0.7526881720430108,0.5053763440860215,0.1899641577060932,2.831541218637993,3.2974910394265233,5.806451612903226,97,72,96,96,86,83,48,76
1305,Arnaud Kalimuendo,fr FRA,"FW,MF",Rennes,fr Ligue 1,22,2002,33,31,2578,28.6,17,3,20,12,5,8,2,0,14.9,8.9,2.0,10.9,50,72,167,Matches,0.5944055944055944,0.1048951048951049,0.6993006993006993,0.5209790209790209,0.06993006993006992,1.7482517482517481,2.5174825174825175,5.839160839160839,97,62,95,96,45,61,28,76
2751,Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,28,1995,38,31,2598,28.9,16,8,24,14,2,2,2,0,15.3,13.8,3.3,17.1,55,31,165,Matches,0.5536332179930796,0.2768166089965398,0.8304498269896194,0.5294117647058824,0.11418685121107267,1.9031141868512111,1.0726643598615917,5.709342560553633,96,92,97,96,65,65,2,75
671,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24,2000,32,28,2554,28.4,16,5,21,10,6,7,4,0,16.2,10.7,4.4,15.1,40,65,184,Matches,0.5633802816901409,0.17605633802816903,0.7394366197183099,0.5704225352112676,0.15492957746478875,1.4084507042253522,2.2887323943661975,6.47887323943662,97,80,96,97,78,49,23,81
