,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Final xPTS
Liverpool,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,93.523800
Arsenal,0.000000,0.826100,0.117300,0.044500,0.011600,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.061200
Manchester City,0.000000,0.054800,0.390000,0.314900,0.205800,0.030900,0.003500,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.969100
Nottingham Forest,0.000000,0.050900,0.226600,0.273300,0.297800,0.126500,0.024800,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,69.173100
Newcastle United,0.000000,0.066700,0.240100,0.285700,0.276100,0.110300,0.020900,0.000200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,68.815000
Chelsea,0.000000,0.001500,0.024500,0.075200,0.169000,0.505900,0.217000,0.006800,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,64.845000
Aston Villa,0.000000,0.000000,0.001500,0.006400,0.039300,0.217400,0.638700,0.080700,0.014100,0.001800,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,62.602000
Bournemouth,0.000000,0.000000,0.000000,0.000000,0.000400,0.006900,0.060400,0.398600,0.283900,0.165200,0.079500,0.004600,0.000500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56.930000
Fulham,0.000000,0.000000,0.000000,0.000000,0.000000,0.001200,0.025400,0.265000,0.278200,0.238400,0.181700,0.010100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.566200
Brentford,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006200,0.125300,0.211100,0.244800,0.334700,0.060900,0.013600,0.002800,0.000500,0.000100,0.000000,0.000000,0.000000,0.000000,54.246500
Brighton,0.000000,0.000000,0.000000,0.000000,0.000000,0.000400,0.003100,0.123000,0.209400,0.327500,0.308100,0.028200,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.025900
Wolverhampton Wanderers,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.001700,0.013800,0.050400,0.379300,0.294900,0.149900,0.080300,0.026500,0.003100,0.000000,0.000000,0.000000,47.932600
Crystal Palace,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000100,0.001000,0.005500,0.031000,0.359700,0.305800,0.201700,0.083000,0.012000,0.000200,0.000000,0.000000,0.000000,47.669600
Tottenham Hotspur,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000200,0.000900,0.006300,0.073300,0.152800,0.197000,0.231500,0.240200,0.097800,0.000000,0.000000,0.000000,44.921500
Manchester United,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000300,0.002100,0.007800,0.057800,0.131200,0.228700,0.249800,0.227600,0.094700,0.000000,0.000000,0.000000,44.584900
Everton,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000400,0.024600,0.090300,0.188500,0.281400,0.335200,0.079600,0.000000,0.000000,0.000000,44.079800
West Ham,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001500,0.010600,0.031400,0.073500,0.158400,0.724600,0.000000,0.000000,0.000000,40.655400
Ipswich,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.802600,0.197400,0.000000,24.941900
Leicester,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.197400,0.800300,0.002300,22.116900
Southampton,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002300,0.997700,13.184500
