Team,Home Goals For,Away Goals For,Home Goals Against,Away Goals Against,ATT Rating,DEF Rating,Team Home Advantage
Arsenal,2.0,1.55,0.631578947368421,0.8,2.189111838033502,0.4862352172664066,0.3
Aston Villa,1.6,1.2,1.15,1.5,1.7354234190078974,0.7249132933945779,0.3
Bournemouth,1.5,1.5,1.05,1.7,1.82061539557507,0.817604477624589,0.19215686274509797
Brentford,1.8,1.15,1.1,1.6,1.978076975115856,0.7334869430263546,0.3
Brighton,1.7,1.25,1.0,1.5,1.6126884821738083,0.7007959074724164,0.3
Burnley,0.95,1.05,1.55,2.4,1.170178123256944,0.9135073214093508,0.16215686274509794
Cardiff,1.105263157894737,0.6842105263157895,2.0,1.631578947368421,1.0197143283035348,1.0478030954609603,0.3
Chelsea,1.5,1.55,1.4,1.5,2.1476498551569425,0.7686634279549002,0.17715686274509795
Coventry City,,0.0,,1.0,0.0001871604162634799,0.31816346287834774,0.27450980392156854
Crystal Palace,1.0,1.25,1.35,1.6,1.507970058932959,0.7552746066564443,0.11715686274509797
Everton,1.4,1.1,1.45,1.2,1.5332940657522731,0.7193842388657813,0.2821568627450979
Fulham,1.65,0.85,1.25,1.6,1.527626286924228,0.797569755387135,0.3
Huddersfield,0.5,0.65,1.6,2.3,0.6200055596814278,1.0994067041328952,0.14715686274509795
Hull City,1.368421052631579,0.47368421052631576,1.7894736842105263,2.3684210526315788,1.0361949334392313,1.256749861370674,0.3
Ipswich Town,0.7368421052631579,1.1578947368421053,2.3157894736842106,2.0,1.1491413422478076,1.1553116502224439,0.06584107327141372
Leeds,1.5,1.1,1.1,1.55,1.7384460870458855,0.6934830168379449,0.3
Leicester,0.85,0.9,1.75,2.3,1.4051746488564258,1.060169820019284,0.17715686274509795
Liverpool,1.8,1.5,1.1,1.65,2.157673969777628,0.7203264314937872,0.282156862745098
Luton,1.4736842105263157,1.263157894736842,1.9473684210526316,2.526315789473684,1.6533913043685196,1.199401329834919,0.25531475748194005
Manchester City,2.4,1.8,0.65,1.1,2.734977753190645,0.470897156862517,0.3
Manchester United,2.0526315789473686,1.631578947368421,1.263157894736842,1.4210526315789473,2.0243650931776913,0.7370044810404165,0.3
Middlesbrough,0.8947368421052632,0.5263157894736842,1.2105263157894737,1.5789473684210527,0.7701495928261745,0.8399124284459092,0.3
Newcastle United,1.9,0.95,1.55,1.25,1.76586163604569,0.6589045098771971,0.3
Norwich,0.6,0.55,2.25,2.3,0.6834982976747287,1.240898297281656,0.20715686274509795
Nottingham Forest,0.85,1.5,1.15,1.5,1.6224836798195008,0.7228121924002585,-0.0028431372549020395
Sheffield Utd,1.0,0.8,2.85,2.4,1.081307885476766,1.380976463292912,0.25215686274509796
Southampton,0.85,0.7,2.55,2.1,0.8963737271333622,1.1769714844207564,0.23715686274509798
Stoke,1.05,0.8,1.7,1.9,1.1192539092576674,1.038509353300322,0.267156862745098
Sunderland,1.3,0.9473684210526315,1.0,1.4210526315789473,1.3460354201853244,0.668697232639156,0.2979463364293085
Swansea,0.95,0.65,1.25,1.6,0.8106832351153626,0.8980399037918972,0.28215686274509794
Tottenham Hotspur,1.1,1.2,1.65,1.45,1.7250130845574319,0.7163012737480948,0.162156862745098
Watford,0.85,0.95,2.5,1.7,1.1563037858856882,1.1086296497560661,0.16215686274509797
West Brom,0.8,1.0,1.95,1.95,1.0231246564197227,1.1083644552416982,0.13215686274509797
West Ham,1.4,1.1,1.6,1.8,1.6206058928083924,0.9258093745214506,0.2821568627450979
Wolverhampton Wanderers,1.0,0.5,1.75,1.9,1.0917848557406493,0.9150491398481834,0.3
