gw,active_chip,name,pos,team,cost,slot,is_starter,is_cap,is_vc,multiplier,pts,pts_counted
1,,Sánchez,GKP,CHE,4.8,1,True,False,False,1,8,8
1,,Van de Ven,DEF,TOT,4.4,2,True,False,False,1,6,6
1,,Tarkowski,DEF,EVE,5.8,3,True,False,False,1,4,4
1,,Diouf,DEF,WHU,4.1,4,True,False,False,1,1,1
1,,M.Salah,MID,LIV,14.0,5,True,True,False,2,8,16
1,,Palmer,MID,CHE,10.3,6,True,False,True,1,3,3
1,,Reijnders,MID,MCI,5.0,7,True,False,False,1,10,10
1,,Ndiaye,MID,EVE,6.3,8,True,False,False,1,2,2
1,,João Pedro,FWD,CHE,7.4,9,True,False,False,1,2,2
1,,Gyökeres,FWD,ARS,9.1,10,True,False,False,1,1,1
1,,Watkins,FWD,AVL,8.7,11,True,False,False,1,2,2
1,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,2,0
1,,Anderson,MID,NFO,5.7,13,False,False,False,0,6,0
1,,Konsa,DEF,AVL,4.4,14,False,False,False,0,3,0
1,,Estève,DEF,BUR,3.8,15,False,False,False,0,1,0
2,,Sánchez,GKP,CHE,4.8,1,True,False,False,1,3,3
2,,Tarkowski,DEF,EVE,5.8,2,True,False,False,1,8,8
2,,Estève,DEF,BUR,3.8,3,True,False,False,1,6,6
2,,Diouf,DEF,WHU,4.1,4,True,False,False,1,3,3
2,,M.Salah,MID,LIV,14.0,5,True,False,False,1,5,5
2,,Ndiaye,MID,EVE,6.3,6,True,False,False,1,8,8
2,,Reijnders,MID,MCI,5.0,7,True,False,True,1,2,2
2,,Anderson,MID,NFO,5.7,8,True,False,False,1,2,2
2,,João Pedro,FWD,CHE,7.4,9,True,False,False,1,15,15
2,,Gyökeres,FWD,ARS,9.1,10,True,False,False,1,12,12
2,,Watkins,FWD,AVL,8.7,11,True,True,False,2,2,4
2,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,6,0
2,,Palmer,MID,CHE,10.3,13,False,False,False,0,0,0
2,,Van de Ven,DEF,TOT,4.4,14,False,False,False,0,6,0
2,,Konsa,DEF,AVL,4.4,15,False,False,False,0,0,0
3,,Sánchez,GKP,CHE,4.8,1,True,False,False,1,6,6
3,,Van de Ven,DEF,TOT,4.4,2,True,False,False,1,1,1
3,,Tarkowski,DEF,EVE,5.8,3,True,False,False,1,3,3
3,,Konsa,DEF,AVL,4.4,4,True,False,False,1,1,1
3,,Kudus,MID,TOT,6.4,5,True,False,False,1,2,2
3,,Ndiaye,MID,EVE,6.3,6,True,False,False,1,7,7
3,,Reijnders,MID,MCI,5.0,7,True,False,False,1,2,2
3,,Anderson,MID,NFO,5.7,8,True,False,False,1,2,2
3,,João Pedro,FWD,CHE,7.4,9,True,False,True,1,9,9
3,,Haaland,FWD,MCI,14.7,10,True,True,False,2,9,18
3,,Watkins,FWD,AVL,8.7,11,True,False,False,1,2,2
3,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,2,0
3,,Diouf,DEF,WHU,4.1,13,False,False,False,0,10,0
3,,Estève,DEF,BUR,3.8,14,False,False,False,0,1,0
3,,Palmer,MID,CHE,10.3,15,False,False,False,0,0,0
4,,Sánchez,GKP,CHE,4.8,1,True,False,False,1,2,2
4,,Van de Ven,DEF,TOT,4.4,2,True,False,False,1,14,14
4,,Tarkowski,DEF,EVE,5.8,3,True,False,False,1,8,8
4,,Konsa,DEF,AVL,4.4,4,True,False,False,1,6,6
4,,Kudus,MID,TOT,6.4,5,True,False,True,1,3,3
4,,Ndiaye,MID,EVE,6.3,6,True,False,False,1,5,5
4,,Reijnders,MID,MCI,5.0,7,True,False,False,1,3,3
4,,Palmer,MID,CHE,10.3,8,True,False,False,1,7,7
4,,João Pedro,FWD,CHE,7.4,9,True,False,False,1,7,7
4,,Haaland,FWD,MCI,14.7,10,True,True,False,2,13,26
4,,Watkins,FWD,AVL,8.7,11,True,False,False,1,2,2
4,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,3,0
4,,Diouf,DEF,WHU,4.1,13,False,False,False,0,1,0
4,,Anderson,MID,NFO,5.7,14,False,False,False,0,4,0
4,,Estève,DEF,BUR,3.8,15,False,False,False,0,4,0
5,,Sánchez,GKP,CHE,4.8,1,True,False,False,1,-3,-3
5,,Van de Ven,DEF,TOT,4.4,2,True,False,False,1,1,1
5,,Estève,DEF,BUR,3.8,3,True,False,False,1,4,4
5,,Konsa,DEF,AVL,4.4,4,True,False,False,1,2,2
5,,Kudus,MID,TOT,6.4,5,True,False,False,1,7,7
5,,M.Salah,MID,LIV,14.0,6,True,True,False,2,5,10
5,,Reijnders,MID,MCI,5.0,7,True,False,False,1,9,9
5,,Palmer,MID,CHE,10.3,8,True,False,False,1,1,1
5,,João Pedro,FWD,CHE,7.4,9,True,False,False,1,2,2
5,,Wood,FWD,NFO,7.1,10,True,False,True,1,2,2
5,,Watkins,FWD,AVL,8.7,11,True,False,False,1,2,2
5,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,4,0
5,,Diouf,DEF,WHU,4.1,13,False,False,False,0,3,0
5,,Ndiaye,MID,EVE,6.3,14,False,False,False,0,6,0
5,,Tarkowski,DEF,EVE,5.8,15,False,False,False,0,3,0
6,3xc,Sánchez,GKP,CHE,4.8,1,True,False,False,1,1,1
6,3xc,Van de Ven,DEF,TOT,4.4,2,True,False,False,1,2,2
6,3xc,Tarkowski,DEF,EVE,5.8,3,True,False,False,1,1,1
6,3xc,Konsa,DEF,AVL,4.4,4,True,False,False,1,2,2
6,3xc,Diouf,DEF,WHU,4.1,5,True,False,False,1,5,5
6,3xc,Ndiaye,MID,EVE,6.3,6,True,False,False,1,2,2
6,3xc,Semenyo,MID,MCI,8.0,7,True,False,False,1,7,7
6,3xc,Reijnders,MID,MCI,5.0,8,True,False,False,1,2,2
6,3xc,Haaland,FWD,MCI,14.7,9,True,True,False,3,16,48
6,3xc,Wood,FWD,NFO,7.1,10,True,False,True,1,2,2
6,3xc,Watkins,FWD,AVL,8.7,11,True,False,False,1,8,8
6,3xc,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,1,0
6,3xc,Kudus,MID,TOT,6.4,13,False,False,False,0,2,0
6,3xc,Estève,DEF,BUR,3.8,14,False,False,False,0,-2,0
6,3xc,Palmer,MID,CHE,10.3,15,False,False,False,0,0,0
7,freehit,Raya,GKP,ARS,6.2,1,True,False,False,1,6,6
7,freehit,Senesi,DEF,BOU,5.2,2,True,False,False,1,2,2
7,freehit,Tarkowski,DEF,EVE,5.8,3,True,False,False,1,5,5
7,freehit,Konsa,DEF,AVL,4.4,4,True,False,False,1,2,2
7,freehit,Gabriel,DEF,ARS,7.3,5,True,False,True,1,9,9
7,freehit,Mbeumo,MID,MUN,8.3,6,True,False,False,1,6,6
7,freehit,Semenyo,MID,MCI,8.0,7,True,False,False,1,18,18
7,freehit,Reijnders,MID,MCI,5.0,8,True,False,False,1,3,3
7,freehit,Haaland,FWD,MCI,14.7,9,True,True,False,2,8,16
7,freehit,Gyökeres,FWD,ARS,9.1,10,True,False,False,1,2,2
7,freehit,Watkins,FWD,AVL,8.7,11,True,False,False,1,2,2
7,freehit,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,2,0
7,freehit,Ndiaye,MID,EVE,6.3,13,False,False,False,0,7,0
7,freehit,Baleba,MID,BHA,4.5,14,False,False,False,0,0,0
7,freehit,Estève,DEF,BUR,3.8,15,False,False,False,0,1,0
8,wildcard,Raya,GKP,ARS,6.2,1,True,False,False,1,6,6
8,wildcard,Cucurella,DEF,CHE,6.1,2,True,False,False,1,8,8
8,wildcard,Diouf,DEF,WHU,4.1,3,True,False,False,1,1,1
8,wildcard,Gabriel,DEF,ARS,7.3,4,True,False,False,1,12,12
8,wildcard,Estève,DEF,BUR,3.8,5,True,False,False,1,8,8
8,wildcard,Kudus,MID,TOT,6.4,6,True,False,False,1,2,2
8,wildcard,Reijnders,MID,MCI,5.0,7,True,False,False,1,1,1
8,wildcard,Semenyo,MID,MCI,8.0,8,True,False,False,1,4,4
8,wildcard,Haaland,FWD,MCI,14.7,9,True,True,False,2,13,26
8,wildcard,Woltemade,FWD,NEW,6.7,10,True,False,False,1,8,8
8,wildcard,João Pedro,FWD,CHE,7.4,11,True,False,True,1,2,2
8,wildcard,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,9,0
8,wildcard,Enzo,MID,CHE,6.5,13,False,False,False,0,0,0
8,wildcard,Ndiaye,MID,EVE,6.3,14,False,False,False,0,4,0
8,wildcard,Tarkowski,DEF,EVE,5.8,15,False,False,False,0,3,0
9,,Raya,GKP,ARS,6.2,1,True,False,False,1,6,6
9,,Cucurella,DEF,CHE,6.1,2,True,False,False,1,1,1
9,,Gabriel,DEF,ARS,7.3,3,True,False,False,1,9,9
9,,Tarkowski,DEF,EVE,5.8,4,True,False,False,1,1,1
9,,Enzo,MID,CHE,6.5,5,True,False,False,1,2,2
9,,Kudus,MID,TOT,6.4,6,True,False,False,1,3,3
9,,Semenyo,MID,MCI,8.0,7,True,False,False,1,3,3
9,,Ndiaye,MID,EVE,6.3,8,True,False,False,1,2,2
9,,Haaland,FWD,MCI,14.7,9,True,True,False,2,2,4
9,,Woltemade,FWD,NEW,6.7,10,True,False,False,1,2,2
9,,João Pedro,FWD,CHE,7.4,11,True,False,True,1,2,2
9,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,2,0
9,,Diouf,DEF,WHU,4.1,13,False,False,False,0,1,0
9,,Reijnders,MID,MCI,5.0,14,False,False,False,0,1,0
9,,Estève,DEF,BUR,3.8,15,False,False,False,0,1,0
10,,Raya,GKP,ARS,6.2,1,True,False,False,1,6,6
10,,Cucurella,DEF,CHE,6.1,2,True,False,False,1,7,7
10,,Gabriel,DEF,ARS,7.3,3,True,False,True,1,12,12
10,,Tarkowski,DEF,EVE,5.8,4,True,False,False,1,2,2
10,,Enzo,MID,CHE,6.5,5,True,False,False,1,2,2
10,,Semenyo,MID,MCI,8.0,6,True,False,False,1,2,2
10,,Ndiaye,MID,EVE,6.3,7,True,False,False,1,9,9
10,,Sarr,MID,CRY,6.4,8,True,False,False,1,3,3
10,,João Pedro,FWD,CHE,7.4,9,True,False,False,1,9,9
10,,Haaland,FWD,MCI,14.7,10,True,True,False,2,13,26
10,,Woltemade,FWD,NEW,6.7,11,True,False,False,1,1,1
10,,Dúbravka,GKP,BUR,4.0,12,False,False,False,0,2,0
10,,Reijnders,MID,MCI,5.0,13,False,False,False,0,1,0
10,,Diouf,DEF,WHU,4.1,14,False,False,False,0,2,0
10,,Estève,DEF,BUR,3.8,15,False,False,False,0,1,0
11,,Raya,GKP,ARS,6.2,1,True,False,False,1,1,1
11,,Cucurella,DEF,CHE,6.1,2,True,False,False,1,6,6
