round_number,date,home_team,away_team,result,id,isResult,home_goals,away_goals,home_xG,away_xG
1,16/08/2024 20:00,Man Utd,Fulham,1 - 0,26602,True,1.0,0.0,2.04,0.42
1,17/08/2024 12:30,Ipswich,Liverpool,0 - 2,26603,True,0.0,2.0,0.34,3.93
1,17/08/2024 15:00,Arsenal,Wolves,2 - 0,26604,True,2.0,0.0,1.63,0.58
1,17/08/2024 15:00,Everton,Brighton,0 - 3,26605,True,0.0,3.0,0.41,1.79
1,17/08/2024 15:00,Newcastle,Southampton,1 - 0,26606,True,1.0,0.0,0.43,1.95
1,17/08/2024 15:00,Nottingham Forest,Bournemouth,1 - 1,26607,True,1.0,1.0,1.24,1.91
1,17/08/2024 17:30,West Ham,Aston Villa,1 - 2,26608,True,1.0,2.0,2.8,2.67
1,18/08/2024 14:00,Brentford,Crystal Palace,2 - 1,26609,True,2.0,1.0,1.38,1.15
1,18/08/2024 16:30,Chelsea,Man City,0 - 2,26610,True,0.0,2.0,1.06,1.18
1,19/08/2024 20:00,Leicester,Spurs,1 - 1,26611,True,1.0,1.0,1.03,1.41
2,24/08/2024 12:30,Brighton,Man Utd,2 - 1,26612,True,2.0,1.0,2.14,1.29
2,24/08/2024 15:00,Crystal Palace,West Ham,0 - 2,26613,True,0.0,2.0,1.38,1.53
2,24/08/2024 15:00,Fulham,Leicester,2 - 1,26614,True,2.0,1.0,1.96,0.86
2,24/08/2024 15:00,Man City,Ipswich,4 - 1,26615,True,4.0,1.0,3.08,0.48
2,24/08/2024 15:00,Southampton,Nottingham Forest,0 - 1,26616,True,0.0,1.0,0.21,2.86
2,24/08/2024 15:00,Spurs,Everton,4 - 0,26617,True,4.0,0.0,2.61,0.65
2,24/08/2024 17:30,Aston Villa,Arsenal,0 - 2,26618,True,0.0,2.0,1.32,1.41
2,25/08/2024 14:00,Bournemouth,Newcastle,1 - 1,26620,True,1.0,1.0,2.54,1.89
2,25/08/2024 14:00,Wolves,Chelsea,2 - 6,26619,True,2.0,6.0,2.42,2.03
2,25/08/2024 16:30,Liverpool,Brentford,2 - 0,26621,True,2.0,0.0,2.72,0.46
3,31/08/2024 12:30,Arsenal,Brighton,1 - 1,26622,True,1.0,1.0,2.42,1.82
3,31/08/2024 15:00,Brentford,Southampton,3 - 1,26623,True,3.0,1.0,3.86,1.65
3,31/08/2024 15:00,Everton,Bournemouth,2 - 3,26624,True,2.0,3.0,2.56,2.96
3,31/08/2024 15:00,Ipswich,Fulham,1 - 1,26625,True,1.0,1.0,0.71,1.19
3,31/08/2024 15:00,Leicester,Aston Villa,1 - 2,26626,True,1.0,2.0,0.77,2.16
3,31/08/2024 15:00,Nottingham Forest,Wolves,1 - 1,26627,True,1.0,1.0,1.41,0.94
3,31/08/2024 17:30,West Ham,Man City,1 - 3,26628,True,1.0,3.0,0.95,3.19
3,01/09/2024 13:30,Chelsea,Crystal Palace,1 - 1,26630,True,1.0,1.0,2.98,0.46
