Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Matches,goals_per_90,assists_per_90,goals_assists_per_90,expected_goals_per_90,expected_assists_per_90,progressive_carries_per_90,progressive_passes_per_90,progressive_receptions_per_90,Goals,Assists,Goals + Assists,Expected Goals,Expected Assists,Progressive Carries,Progressive Passes,Progressive Receptions
2237,Mohamed Salah,eg EGY,FW,Liverpool,eng Premier League,32-295,1992,30,30,2657,29.5,27,17,44,18,9,9,1,0,22.1,15.0,11.2,26.2,124,114,375,Matches,0.9152542372881356,0.576271186440678,1.4915254237288136,0.7491525423728814,0.3796610169491525,4.203389830508475,3.864406779661017,12.711864406779661,99,99,99,99,98,94,60,99
1447,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,36-228,1988,29,27,2299,25.5,25,2,27,22,3,4,1,0,24.0,20.8,2.3,23.2,24,45,145,Matches,0.9803921568627451,0.0784313725490196,1.0588235294117647,0.9411764705882353,0.09019607843137255,0.9411764705882353,1.7647058823529411,5.686274509803922,99,52,99,99,54,33,11,75
1285,Harry Kane,eng ENG,FW,Bayern Munich,de Bundesliga,31-252,1993,26,24,2023,22.5,23,8,31,14,9,9,4,0,17.9,10.9,4.3,15.1,24,77,122,Matches,1.0222222222222221,0.35555555555555557,1.3777777777777778,0.7955555555555555,0.1911111111111111,1.0666666666666667,3.422222222222222,5.4222222222222225,99,97,99,99,86,38,50,72
2139,Mateo Retegui,it ITA,FW,Atalanta,it Serie A,25-342,1999,28,24,1720,19.1,22,4,26,19,3,4,2,0,14.1,11.0,3.2,14.2,16,29,140,Matches,1.1518324607329842,0.20942408376963348,1.3612565445026177,0.7382198952879581,0.16753926701570682,0.8376963350785339,1.5183246073298429,7.329842931937172,99,85,99,99,81,28,8,86
1649,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,26-107,1998,28,28,2420,26.9,22,3,25,16,6,7,3,0,19.9,14.4,6.5,20.9,121,118,322,Matches,0.8178438661710038,0.11152416356877325,0.929368029739777,0.7397769516728624,0.241635687732342,4.4981412639405205,4.386617100371748,11.970260223048328,99,64,98,99,93,95,71,98
1082,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,24-259,2000,28,28,2480,27.6,21,3,24,19,2,3,2,0,20.8,18.4,2.8,21.2,19,18,103,Matches,0.7608695652173912,0.10869565217391304,0.8695652173913043,0.7536231884057971,0.10144927536231883,0.6884057971014492,0.6521739130434783,3.731884057971014,98,63,98,99,60,22,0,54
684,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27-326,1997,26,17,1528,17.0,21,5,26,20,1,1,1,0,14.9,14.2,7.0,21.2,119,113,222,Matches,1.2352941176470589,0.29411764705882354,1.5294117647058822,0.8764705882352941,0.4117647058823529,7.0,6.647058823529412,13.058823529411764,100,93,100,99,99,99,94,99
1189,Alexander Isak,se SWE,FW,Newcastle Utd,eng Premier League,25-197,1999,26,26,2117,23.5,20,5,25,18,2,2,1,0,16.1,14.5,3.8,18.3,67,65,169,Matches,0.851063829787234,0.2127659574468085,1.0638297872340425,0.6851063829787235,0.16170212765957445,2.851063829787234,2.765957446808511,7.191489361702128,99,86,99,98,80,84,33,85
2710,Chris Wood,nz NZL,FW,Nott'ham Forest,eng Premier League,33-120,1991,29,28,2344,26.0,18,3,21,15,3,3,1,0,11.0,8.7,1.9,10.6,13,33,72,Matches,0.6923076923076923,0.11538461538461539,0.8076923076923077,0.4230769230769231,0.07307692307692307,0.5,1.2692307692307692,2.769230769230769,98,65,97,93,47,14,4,44
1297,Moise Kean,it ITA,FW,Fiorentina,it Serie A,25-037,2000,28,27,2344,26.0,17,3,20,16,1,2,5,0,15.6,14.0,1.8,15.8,33,23,125,Matches,0.6538461538461539,0.11538461538461539,0.7692307692307693,0.6,0.06923076923076923,1.2692307692307692,0.8846153846153846,4.8076923076923075,98,65,96,97,45,46,1,65
1651,Bryan Mbeumo,cm CMR,FW,Brentford,eng Premier League,25-242,1999,30,30,2694,29.9,16,5,21,11,5,5,2,0,9.8,5.9,6.7,12.6,101,113,281,Matches,0.5351170568561873,0.16722408026755853,0.7023411371237459,0.3277591973244148,0.22408026755852845,3.3779264214046822,3.779264214046823,9.39799331103679,96,78,95,87,91,89,58,94
409,Jonathan Burkardt,de GER,FW,Mainz 05,de Bundesliga,24-269,2000,24,23,1665,18.5,15,2,17,14,1,1,0,0,12.3,11.5,2.7,14.1,25,36,127,Matches,0.8108108108108109,0.10810810810810811,0.918918918918919,0.664864864864865,0.14594594594594595,1.3513513513513513,1.945945945945946,6.864864864864865,99,63,98,98,75,49,15,83
